humidity,temperature,distance,sound_pressure_level
20,0,500,81.082
20,0,1000,71.567
20,0,1500,66.074
20,0,2000,62.119
20,0,2500,59.012
21,0,500,81.112
21,0,1000,71.721
21,0,1500,66.286
21,0,2000,62.364
21,0,2500,59.275
22,0,500,81.146
22,0,1000,71.869
22,0,1500,66.487
22,0,2000,62.596
22,0,2500,59.523
23,0,500,81.185
23,0,1000,72.011
23,0,1500,66.677
23,0,2000,62.815
23,0,2500,59.759
24,0,500,81.227
24,0,1000,72.148
24,0,1500,66.857
24,0,2000,63.022
24,0,2500,59.982
25,0,500,81.271
25,0,1000,72.278
25,0,1500,67.026
25,0,2000,63.217
25,0,2500,60.194
26,0,500,81.316
26,0,1000,72.403
26,0,1500,67.187
26,0,2000,63.402
26,0,2500,60.394
27,0,500,81.362
27,0,1000,72.522
27,0,1500,67.338
27,0,2000,63.576
27,0,2500,60.584
28,0,500,81.407
28,0,1000,72.636
28,0,1500,67.482
28,0,2000,63.740
28,0,2500,60.763
29,0,500,81.452
29,0,1000,72.744
29,0,1500,67.618
29,0,2000,63.896
29,0,2500,60.933
30,0,500,81.497
30,0,1000,72.848
30,0,1500,67.747
30,0,2000,64.043
30,0,2500,61.094
31,0,500,81.541
31,0,1000,72.947
31,0,1500,67.869
31,0,2000,64.182
31,0,2500,61.247
32,0,500,81.584
32,0,1000,73.041
32,0,1500,67.986
32,0,2000,64.314
32,0,2500,61.391
33,0,500,81.627
33,0,1000,73.132
33,0,1500,68.097
33,0,2000,64.440
33,0,2500,61.528
34,0,500,81.668
34,0,1000,73.218
34,0,1500,68.203
34,0,2000,64.558
34,0,2500,61.658
35,0,500,81.708
35,0,1000,73.300
35,0,1500,68.304
35,0,2000,64.672
35,0,2500,61.781
36,0,500,81.747
36,0,1000,73.379
36,0,1500,68.400
36,0,2000,64.779
36,0,2500,61.898
37,0,500,81.784
37,0,1000,73.455
37,0,1500,68.493
37,0,2000,64.882
37,0,2500,62.010
38,0,500,81.821
38,0,1000,73.527
38,0,1500,68.581
38,0,2000,64.980
38,0,2500,62.116
39,0,500,81.856
39,0,1000,73.597
39,0,1500,68.665
39,0,2000,65.073
39,0,2500,62.217
40,0,500,81.891
40,0,1000,73.663
40,0,1500,68.747
40,0,2000,65.163
40,0,2500,62.313
41,0,500,81.924
41,0,1000,73.727
41,0,1500,68.824
41,0,2000,65.249
41,0,2500,62.405
42,0,500,81.956
42,0,1000,73.788
